"area","file","line","field","text"
"analytics","pages\api\analytics\events.js","126",,"Method not allowed"
"arcade","pages\api\arcade\achievements.js","6",,"Method not allowed"
"arcade","pages\api\arcade\balance.js","5",,"Method not allowed"
"arcade","pages\api\arcade\balance.js","19",,"Could not load balance"
"arcade","pages\api\arcade\balance.js","31",,"Server error"
"arcade","pages\api\arcade\events\index.js","47",,"Invalid action"
"arcade","pages\api\arcade\events\index.js","50",,"Method not allowed"
"arcade","pages\api\arcade\friends\index.js","39",,"Invalid action"
"arcade","pages\api\arcade\friends\index.js","44",,"Missing friend ID"
"arcade","pages\api\arcade\friends\index.js","49",,"Method not allowed"
"arcade","pages\api\arcade\games.js","9",,"Method not allowed"
"arcade","pages\api\arcade\games.js","30",,"Failed to load games"
"arcade","pages\api\arcade\games.js","104",,"Server error"
"arcade","pages\api\arcade\games\bingo\action.js","6",,"Method not allowed"
"arcade","pages\api\arcade\games\bingo\action.js","17",,"Invalid request"
"arcade","pages\api\arcade\games\bingo\action.js","46",,"Could not load game state"
"arcade","pages\api\arcade\games\bingo\action.js","52",,"Server error"
"arcade","pages\api\arcade\games\checkers\action.js","8",,"Method not allowed"
"arcade","pages\api\arcade\games\checkers\action.js","23",,"Invalid request"
"arcade","pages\api\arcade\games\chess\action.js","8",,"Method not allowed"
"arcade","pages\api\arcade\games\chess\action.js","22",,"Invalid request"
"arcade","pages\api\arcade\games\dominoes\action.js","8",,"Method not allowed"
"arcade","pages\api\arcade\games\dominoes\action.js","20",,"Invalid request"
"arcade","pages\api\arcade\games\fourline\action.js","13",,"Method not allowed"
"arcade","pages\api\arcade\games\fourline\action.js","39",,"Invalid request"
"arcade","pages\api\arcade\games\ludo\action.js","8",,"Method not allowed"
"arcade","pages\api\arcade\games\ludo\action.js","21",,"Invalid request"
"arcade","pages\api\arcade\games\snakes-and-ladders\action.js","8",,"Method not allowed"
"arcade","pages\api\arcade\games\snakes-and-ladders\action.js","20",,"Invalid request"
"arcade","pages\api\arcade\history.js","6",,"Method not allowed"
"arcade","pages\api\arcade\invites\index.js","44",,"Invalid action"
"arcade","pages\api\arcade\invites\index.js","47",,"Method not allowed"
"arcade","pages\api\arcade\missions\today.js","6",,"Method not allowed"
"arcade","pages\api\arcade\my-room.js","24",,"Method not allowed"
"arcade","pages\api\arcade\presence\heartbeat.js","6",,"Method not allowed"
"arcade","pages\api\arcade\profile\display-name.js","6",,"Method not allowed"
"arcade","pages\api\arcade\profile\me.js","7",,"Method not allowed"
"arcade","pages\api\arcade\profile\view.js","6",,"Method not allowed"
"arcade","pages\api\arcade\profile\view.js","14",,"Missing player ID"
"arcade","pages\api\arcade\profile\view.js","22",,"Player not found"
"arcade","pages\api\arcade\quick-game.js","8",,"Method not allowed"
"arcade","pages\api\arcade\quick-game.js","19",,"Missing game"
"arcade","pages\api\arcade\quick-match\cancel.js","6",,"Method not allowed"
"arcade","pages\api\arcade\quick-match\enqueue.js","7",,"Method not allowed"
"arcade","pages\api\arcade\quick-match\enqueue.js","18",,"Missing game"
"arcade","pages\api\arcade\rooms\create.js","9",,"Method not allowed"
"arcade","pages\api\arcade\rooms\join.js","8",,"Method not allowed"
"arcade","pages\api\arcade\rooms\join.js","17",,"Missing room ID"
"arcade","pages\api\arcade\rooms\join-by-code.js","8",,"Method not allowed"
"arcade","pages\api\arcade\rooms\leave.js","6",,"Method not allowed"
"arcade","pages\api\arcade\rooms\leave.js","15",,"Missing room ID"
"arcade","pages\api\arcade\rooms\open.js","6",,"Method not allowed"
"arcade","pages\api\arcade\rooms\open.js","14",,"Missing game"
"arcade","pages\api\arcade\safe-messages.js","6",,"Method not allowed"
"arcade","pages\api\arcade\shop\index.js","39",,"Invalid action"
"arcade","pages\api\arcade\shop\index.js","42",,"Method not allowed"
"demo","pages\api\demo\cards\catalog.js","9",,"Method not allowed"
"demo","pages\api\demo\cards\collection.js","9",,"Method not allowed"
"demo","pages\api\demo\cards\series.js","9",,"Method not allowed"
"demo","pages\api\demo\cards\shop.js","11",,"Method not allowed"
"demo","pages\api\demo\catalog.js","10",,"Method not allowed"
"demo","pages\api\demo\catalog.js","32",,"Server error"
"demo","pages\api\demo\parent\activities\index.js","16",,"studentId is required"
"demo","pages\api\demo\parent\copilot-turn.js","30",,"utterance is required"
"demo","pages\api\demo\parent\copilot-turn.js","38",,"Could not build demo report for copilot"
"guardian","pages\api\guardian\change-pin.js","0","helper_msg","Unexpected server error"
"guardian","pages\api\guardian\login.js","0","helper_msg","Unexpected server error"
"guardian","pages\api\guardian\logout.js","0","helper_msg","Method not allowed"
"guardian","pages\api\guardian\me.js","0","helper_msg","Unexpected server error"
"guardian","pages\api\guardian\school-messages\index.js","0","helper_msg","Method not allowed"
"guardian","pages\api\guardian\student\[studentId]\report-data.js","0","helper_msg","Unexpected server error"
"learning","pages\api\learning\answer.js","77",,"Method not allowed"
"learning","pages\api\learning\answer.js","86",,"Not authenticated"
"learning","pages\api\learning\answer.js","91",,"isCorrect must be boolean"
"learning","pages\api\learning\answer.js","96",,"learningSessionId is required"
"learning","pages\api\learning\answer.js","103",,"questionId or questionFingerprint is required"
"learning","pages\api\learning\answer.js","108",,"Invalid subject"
"learning","pages\api\learning\answer.js","119",,"Session does not belong to student"
"learning","pages\api\learning\answer.js","121",,"Learning session not found"
"learning","pages\api\learning\answer.js","296",,"Failed to record answer"
"learning","pages\api\learning\answer.js","339",,"Server error"
"learning","pages\api\learning\book-events.js","24",,"Method not allowed"
"learning","pages\api\learning\book-events.js","37",,"Not authenticated"
"learning","pages\api\learning\planner-recommendation.js","75",,"Method not allowed"
"learning","pages\api\learning\session\finish.js","57",,"Method not allowed"
